"ID de la incidencia","Proyecto","Etiquetas","Resumen","Notificador","Creada","Actualizada","Resuelta","Prioridad","Tipo","Estado","Usuario asignado","Estimación","Tiempo empleado","Sprints","Ideal days","Original estimation","Story points","Descripción","Votos"
"TDI-72","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar filtros en la vista de tabla (fecha, estado, responsable).","admin","27 ago 2025 01:18","6 sept 2025 18:17",,"Normal","Tarea","En curso","Leo","60",,"Sprint 1",,,,,"0"
"TDI-71","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar vista de tabla con columnas dinámicas.","admin","27 ago 2025 01:16","6 sept 2025 18:17",,"Normal","Tarea","En curso","Leo","60",,"Sprint 1",,,,,"0"
"TDI-28","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar componentes reutilizables (botones, inputs).","admin","27 ago 2025 00:41","6 sept 2025 18:16",,"Normal","Tarea","En curso","Leo","60",,"Sprint 1",,,,,"0"
"TDI-24","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Diseñar vista de detalle de tarea.","admin","27 ago 2025 00:39","6 sept 2025 18:16",,"Normal","Tarea","En curso","Leo","120",,"Sprint 1",,,,,"0"
"TDI-21","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar pantalla de recuperación de contraseña. ","admin","27 ago 2025 00:37","6 sept 2025 18:16",,"Normal","Tarea","En curso","Leo","30",,"Sprint 1",,,,,"0"
"TDI-45","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Documentar endpoints en Swagger/OpenAPI.","admin","27 ago 2025 00:56","5 sept 2025 01:27",,"Normal","Tarea","En curso","Jmonsalvez2020","120",,"Sprint 1",,,,,"0"
"TDI-14","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 4","Crear tests unitarios básicos para controladores de auth.","admin","26 ago 2025 23:50","3 sept 2025 03:35",,"Normal","Tarea","En curso","admin","60","120","Sprint 1",,,,,"0"
"TDI-91","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Establecer tareas siguiente sprint ","admin","27 ago 2025 01:36","27 ago 2025 01:36",,"Normal","Tarea","Abierto","admin","180",,"Sprint 1",,,,,"0"
"TDI-89","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Mostrar métricas básicas por proyecto en la lista (tareas, progreso).","admin","27 ago 2025 01:32","27 ago 2025 01:32",,"Normal","Tarea","Abierto","Jmonsalvez2020","180",,"Sprint 1",,,,,"0"
"TDI-85","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar invitaciones por correo a proyectos (Brevo).","admin","27 ago 2025 01:29","27 ago 2025 01:29",,"Normal","Tarea","Abierto","amonsalve2022","60",,"Sprint 1",,,,,"0"
"TDI-70","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar notificación push al subir un adjunto","admin","27 ago 2025 01:13","27 ago 2025 01:13",,"Normal","Tarea","Abierto","Jmonsalvez2020","20",,"Sprint 1",,,,,"0"
"TDI-69","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Validar permisos de acceso a adjuntos.","admin","27 ago 2025 01:12","27 ago 2025 01:12",,"Normal","Tarea","Abierto","Jmonsalvez2020","60",,"Sprint 1",,,,,"0"
"TDI-68","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar ícono de adjuntos en lista de tareas.","admin","27 ago 2025 01:11","27 ago 2025 01:11",,"Normal","Tarea","Abierto","Jmonsalvez2020","5",,"Sprint 1",,,,,"0"
